kunta,alue,aanioikeutetut,aanioikeutetut_miehet,aanioikeutetut_naiset,aanestaneet,aanestaneet_miehet,aanestaneet_naiset,kunta_suom
77,11 077 Asema,1368,701,667,801,393,408,Hankasalmi
77,11 077 Kirkonkylä,2158,1036,1122,1350,633,717,Hankasalmi
77,11 077 Niemisjärvi,643,337,306,403,207,196,Hankasalmi
172,11 172 Joutsa,3162,1591,1571,1953,1073,880,Joutsa
172,11 172 Leivonmäki,839,443,396,480,243,237,Joutsa
179,11 179 Kirkkopuisto,6139,2787,3352,3756,1643,2113,Jyväskylä
179,11 179 Harju,5434,2698,2736,2487,1125,1362,Jyväskylä
179,11 179 Puistotori,4084,1791,2293,2370,989,1381,Jyväskylä
179,11 179 Taulumäki,3777,1674,2103,2285,988,1297,Jyväskylä
179,11 179 Nisula,4376,2068,2308,2566,1146,1420,Jyväskylä
179,11 179 Hippos,4344,1982,2362,2533,1087,1446,Jyväskylä
179,11 179 Kukkumäki,3598,1795,1803,1874,884,990,Jyväskylä
179,11 179 Ristikivi,4211,2153,2058,2497,1206,1291,Jyväskylä
179,11 179 Kuokkala,5325,2733,2592,2558,1254,1304,Jyväskylä
179,11 179 Kuokkalanpelto,4759,2386,2373,2768,1340,1428,Jyväskylä
179,11 179 Halssila,6083,2854,3229,3136,1438,1698,Jyväskylä
179,11 179 Jyskä,4928,2476,2452,2686,1293,1393,Jyväskylä
179,11 179 Vaajakoski,2895,1415,1480,1596,765,831,Jyväskylä
179,11 179 Savonmäki,3459,1725,1734,1992,985,1007,Jyväskylä
179,11 179 Kangaslampi,6359,3080,3279,2863,1334,1529,Jyväskylä
179,11 179 Lohikoski,3706,1778,1928,2234,1051,1183,Jyväskylä
179,11 179 Säynätsalo,2625,1360,1265,1722,852,870,Jyväskylä
179,11 179 Keljonkangas,4090,2067,2023,2359,1158,1201,Jyväskylä
179,11 179 Keltinmäki,3545,1792,1753,1914,910,1004,Jyväskylä
179,11 179 Kypärämäki,3066,1556,1510,1940,952,988,Jyväskylä
179,11 179 Kortepohja,4543,2217,2326,2746,1290,1456,Jyväskylä
179,11 179 Itä-Palokka,6078,2883,3195,3642,1683,1959,Jyväskylä
179,11 179 Länsi-Palokka,3890,1874,2016,2019,940,1079,Jyväskylä
179,11 179 Puuppola,1502,785,717,875,429,446,Jyväskylä
179,11 179 Tikkakoski,3797,1927,1870,2230,1088,1142,Jyväskylä
179,11 179 Vesanka,1560,812,748,901,457,444,Jyväskylä
179,11 179 Tikkala,626,338,288,389,200,189,Jyväskylä
179,11 179 Vespuoli,406,213,193,255,127,128,Jyväskylä
179,11 179 Saakoski,461,248,213,234,120,114,Jyväskylä
179,11 179 Korpilahti,2441,1181,1260,1234,577,657,Jyväskylä
179,182 Jämsä,17530,8722,8808,10098,4929,5169,Jyväskylä
179,11 182 Kaipola,1497,776,721,915,463,452,Jyväskylä
179,11 182 Lukkoila,2637,1259,1378,1451,675,776,Jyväskylä
179,11 182 Vitikkala,2806,1291,1515,1649,748,901,Jyväskylä
179,11 182 Seppola,2688,1378,1310,1462,713,749,Jyväskylä
179,11 182 Kuorevesi,2565,1330,1235,1545,794,751,Jyväskylä
179,11 182 Patala,2453,1227,1226,1346,661,685,Jyväskylä
179,11 182 Oinaala,2285,1136,1149,1362,673,689,Jyväskylä
179,11 182 Koskenpää,599,325,274,368,202,166,Jyväskylä
216,11 216 Kannonkoski,1174,600,574,721,350,371,Kannonkoski
226,11 226 Kirkonkylä,3480,1716,1764,2237,1075,1162,Karstula
249,11 249 Keskustan läntinen,3716,1721,1995,2117,942,1175,Keuruu
249,11 249 Keskustan itäinen,2620,1264,1356,1669,779,890,Keuruu
249,11 249 Haapamäki,1018,536,482,593,300,293,Keuruu
249,11 249 Pihlajavesi,447,244,203,303,157,146,Keuruu
249,11 249 Pohjoislahti,457,242,215,329,167,162,Keuruu
256,11 256 Kinnula,1103,588,515,914,471,443,Kinnula
256,11 256 Saari,256,147,109,209,119,90,Kinnula
265,11 265 Kivijärvi,981,527,454,665,337,328,Kivijärvi
275,11 275 Konnevesi,2296,1194,1102,1447,730,717,Konnevesi
291,11 291 Kuhmoinen,2013,983,1030,1292,621,671,Kuhmoinen
312,11 312 Kyyjärvi,1095,570,525,733,366,367,Kyyjärvi
410,11 410 Kirkonkylä,5004,2415,2589,3001,1419,1582,Laukaa
410,11 410 Vihtavuori,1783,921,862,1025,481,544,Laukaa
410,11 410 Leppävesi,2277,1162,1115,1306,637,669,Laukaa
410,11 410 Lievestuore,2654,1346,1308,1450,711,739,Laukaa
410,11 410 Vehniä,696,364,332,402,203,199,Laukaa
410,11 410 Pohjois-Laukaa,1465,770,695,816,423,393,Laukaa
435,11 435 Kirkonkylä,269,145,124,197,103,94,Luhanka
435,11 435 Tammijärvi,379,195,184,265,130,135,Luhanka
495,11 495 Multia,1355,694,661,834,419,415,Multia
500,11 500 Kirkonkylä pohjoinen,3272,1597,1675,2051,978,1073,Muurame
500,11 500 Kirkonkylä eteläinen,2121,1050,1071,1425,701,724,Muurame
500,11 500 Kinkomaa,1025,506,519,674,323,351,Muurame
500,11 500 Niittyaho,510,273,237,319,162,157,Muurame
500,11 500 Isolahti,400,215,185,255,133,122,Muurame
592,11 592 Kirkonkylä,2313,1201,1112,1445,734,711,Petäjävesi
592,11 592 Kintaus,721,380,341,421,215,206,Petäjävesi
601,11 601 Alvajärvi,197,100,97,140,70,70,Pihtipudas
601,11 601 Elämäjärvi-Peninki,381,204,177,237,123,114,Pihtipudas
601,11 601 Kirkonkylä,2015,935,1080,1247,565,682,Pihtipudas
601,11 601 Korppinen,310,173,137,205,111,94,Pihtipudas
601,11 601 Muurasjärvi,475,249,226,303,160,143,Pihtipudas
729,11 729 Saarijärvi,7958,3926,4032,4597,2200,2397,Saarijärvi
850,11 850 Kirkonkylä,1896,976,920,1208,599,609,Toivakka
892,11 892 Uurainen,2610,1345,1265,1626,809,817,Uurainen
931,11 931 Keskeinen,4122,1987,2135,2392,1079,1313,Viitasaari
931,11 931 Läntinen,615,337,278,374,193,181,Viitasaari
931,11 931 Itäinen,842,454,388,532,273,259,Viitasaari
992,11 992 Äänekoski,4298,1989,2309,2314,1053,1261,Äänekoski
992,11 992 Markkamäki,3544,1803,1741,2007,995,1012,Äänekoski
992,11 992 Suolahti,4080,2069,2011,2366,1149,1217,Äänekoski
992,11 992 Honkola,1540,825,715,912,478,434,Äänekoski
992,11 992 Konginkangas,1080,583,497,605,316,289,Äänekoski
992,11 992 Sumiainen,851,442,409,511,266,245,Äänekoski
